File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
2,a488,9,568,589,26,1.21,3.373,7.796,1.491,2
2,a488,10,287.635,746.174,25.293,2.201,2.979,31.773,1.975,1
2,a488,10,307.153,770.911,22.336,1.415,3.13,9.455,1.705,2
2,a488,11,746.796,878.99,22.644,2.715,2.619,40.297,2.513,1
2,a488,11,690.04,819.153,25.087,0.791,3.021,12.122,1.33,2
2,a594,1,499.29,186.704,26.285,8.299,3.132,97.615,12.373,1
2,a594,1,550.166,239.636,25.123,2.907,3.107,37.448,4.795,2
2,a594,2,234.372,262.853,24.991,7.873,2.814,43.714,8.874,1
2,a594,2,258.112,353.063,24.034,2.891,2.393,42.285,3.83,2
2,a594,3,411.633,257.42,22.906,4.069,4.489,15.21,1.874,1
2,a594,3,385,313,26,3.069,2.821,14.057,5.781,2
2,a594,4,202.243,368.167,29.289,8.018,2.792,113.167,9.74,3
2,a594,4,115.032,413.199,26.868,7.96,2.824,168.82,10.314,2
2,a594,4,179.938,256.893,22.152,6.841,2.957,23.899,8.651,1
2,a594,4,179.401,329.639,27.713,2.388,2.646,49.27,3.505,4
2,a594,5,297.233,447.921,23.044,11.256,2.788,126.5,13.581,2
2,a594,5,327.959,498.727,25.415,6.424,2.632,91.027,8.412,1
2,a594,6,445.86,590.008,25.073,4.976,2.61,50.998,8.194,2
2,a594,6,451.454,597.042,26.137,4.569,2.717,43.101,6.209,2
2,a594,6,388.839,557.711,25.376,1.193,2.639,19.206,2.529,1
2,a594,7,78.462,551.264,25.475,9.443,2.909,60.037,11.187,0
2,a594,7,72.991,566.261,24.852,3.957,2.554,20.03,6.538,0
2,a594,7,78.287,570.219,23.112,3.857,2.585,94.79,5.507,0
2,a594,8,788.96,595.258,28,8.563,3.007,3.673,3.735,1
2,a594,8,821.569,605.157,27.007,7.563,2.963,35.33,12.028,2
2,a594,9,626.958,640.642,23.692,6.245,3.168,76.775,11.499,1
2,a594,9,569.103,589.922,25.859,4.606,3.127,110.826,8.027,2
2,a594,10,288.691,744.225,25.48,7.115,3.361,55.366,9.564,1
2,a594,10,308.086,768.59,22.1,4.274,3.208,52.999,6.107,2
2,a594,11,746.471,878.874,22.494,4.873,2.97,154.121,8.226,1
2,a594,11,689.488,818.514,24.858,3.123,2.691,55.655,5.435,2
2,tmr,1,550.285,240.687,23.84,5.281,2.977,75.154,4.505,2
2,tmr,1,502,191,24,2.332,2.816,8.323,2.91,1
2,tmr,1,502.477,197.86,23.493,1.605,2.716,2.776,2.325,1
2,tmr,2,260.58,341.565,24.478,2.491,2.713,11.309,2.397,2
2,tmr,2,225.683,254.637,22.957,1.877,2.823,25.531,1.912,1
2,tmr,3,396.83,313.983,23.358,1.854,4.054,27.227,2.432,2
2,tmr,3,419.779,265.509,22.51,1.69,2.905,14.027,2.265,1
2,tmr,4,173.355,255.947,23.509,3.102,2.867,27.659,2.736,1
2,tmr,4,121.973,421.811,26.553,2.317,2.707,43.103,2.278,2
2,tmr,4,158.529,336.8,26.116,1.702,3.236,10.01,2.061,4
2,tmr,4,169.438,339.499,25.869,1.697,2.369,32.502,1.945,4
2,tmr,4,204.239,372.928,26.542,1.04,2.598,13.432,1.382,3
2,tmr,5,293.6,449.538,24.77,3.752,2.731,34.253,3.061,2
2,tmr,5,335.394,485.921,25.957,2.343,2.862,26.388,2.557,1
2,tmr,6,435.515,581.22,23.811,2.474,2.876,17.332,2.779,2
2,tmr,6,444.397,589.214,24.572,2.129,2.371,24.91,2.311,2
2,tmr,6,383.443,536.732,23.188,1.301,2.187,22.169,1.952,1
2,tmr,7,72.954,553.501,25.393,2.66,3.571,23.997,2.565,0
2,tmr,7,56.52,544.559,25.439,2.269,2.819,27.025,2.324,0
2,tmr,8,787.057,593.373,26.701,3.239,3.056,21.272,1.693,1
2,tmr,8,828.124,600.073,24.36,2.239,3.039,23.302,2.496,2
2,tmr,9,620.583,626.839,25.191,4.823,2.771,38.353,4.687,1
2,tmr,9,571.278,590.749,26.415,1.864,2.932,10.321,2.474,2
2,tmr,10,296.397,733.765,27.179,3.616,3.032,68.021,3.293,1
2,tmr,10,308.418,778.726,23.264,1.851,2.409,15.753,2.375,2
2,tmr,11,691.858,826.954,23.884,5.771,3.201,102.652,6.083,2
2,tmr,11,744.63,872.675,23.335,1.735,2.957,16.894,2.368,1
3,Cy5,1,91.672,107.588,23.942,4.43,2.964,39.777,5.559,2
3,Cy5,1,151.467,173.726,23.513,4.414,2.867,44.233,5.08,1
3,Cy5,2,602.611,226.137,23.028,2.253,2.382,38.393,2.848,1
3,Cy5,2,618.196,186.463,24.343,1.554,3.577,11.959,2.222,2
3,Cy5,3,137.471,245.245,24.317,5.47,3.311,13.002,6.576,1
3,Cy5,3,42.606,280.912,22.756,5.411,2.685,80.094,6.665,2
3,Cy5,3,136.704,241.29,24.442,2.814,3.125,3.902,5.126,1
3,Cy5,4,259.534,266.416,25.282,6.344,2.698,49.608,5.384,2
3,Cy5,4,247.239,317.479,25.993,3.174,2.95,35.441,3.393,1
3,Cy5,5,682.185,294.629,23.722,5.805,2.74,55.875,5.106,2
3,Cy5,5,692,402,22,3.15,2.924,4.279,3.411,1
3,Cy5,6,805.276,352.07,29.64,4.187,3.181,16.376,4.647,0
3,Cy5,6,797.829,359.307,29.167,2.287,2.644,12.916,3.225,0
3,Cy5,7,483.517,409.792,25,7.524,3.209,9.065,1.596,1
3,Cy5,7,410.479,409.009,26.52,6.524,2.761,67.711,5.825,2
3,Cy5,7,473.054,406.286,21.445,1.05,2.269,15.677,1.85,1
3,Cy5,8,150.125,560.95,24.108,6.392,2.965,115.352,6.786,1
3,Cy5,8,80.504,486.767,22.686,5.12,2.638,65.776,5.733,2
3,Cy5,9,426.014,612.442,24.682,4.453,2.696,47.908,4.719,1
3,Cy5,9,419.259,528.819,21.396,3.148,2.458,35.953,4.32,2
3,Cy5,10,143.282,685.642,24.531,4.711,2.951,66.445,5.152,1
3,Cy5,10,157.621,726.416,22.584,1.492,2.401,15.217,2.323,0
3,Cy5,10,141.942,672.443,22.43,2.38,2.438,20.09,2.842,0
3,Cy5,10,161.514,740.389,23.476,1.394,2.601,13.756,2.124,2
3,Cy5,11,647.651,677.363,26.449,4.291,2.484,18.021,4.83,1
3,Cy5,11,553.843,727.687,22.681,3.537,2.823,20.677,3.837,2
3,Cy5,11,652.323,674.585,25.213,2.704,3.096,41.748,3.133,1
3,Cy5,12,168,851,22,4.592,3.113,15.524,4.795,1
3,Cy5,12,214.897,765.978,24.025,3.89,2.793,34.411,4.379,2
3,Cy5,13,883.381,851.598,23.983,4.308,2.886,2.63,5.34,2
3,Cy5,13,886,848,24,3.854,2.845,15.694,4.751,2
3,Cy5,13,812.729,931.017,23.556,2.892,2.979,8.327,3.788,1
3,Cy5,13,820.914,921.484,26.177,2.31,2.478,23.847,3.099,1
3,Cy5,14,299.071,908.352,22.605,5.351,3.343,29.467,6.48,1
3,Cy5,14,296.216,905.796,22.362,4.389,2.844,3.049,5.145,1
3,Cy5,14,258.943,964.438,22.558,3.516,3.553,34.364,3.994,2
3,a488,1,82.703,105.997,23.061,2.868,2.852,24.364,2.445,2
3,a488,1,154.33,171.231,24.896,1.687,3.177,10.294,1.687,1
